subject,group,trial,error
EC_007,EC,1,12.2766666512
EC_007,EC,2,8.413749989400001
EC_007,EC,3,1.2435416651
EC_007,EC,4,3.9422916617
EC_007,EC,5,3.3337499958000003
EC_007,EC,6,4.6831249941
EC_007,EC,7,5.1329166602
EC_007,EC,8,2.4341666636
EC_007,EC,9,-2.8045833298
EC_007,EC,10,3.7570833286
EC_007,EC,11,3.2808333292
EC_007,EC,12,1.1906249985
EC_007,EC,13,2.6722916633
EC_007,EC,14,-1.9049999976
EC_007,EC,15,1.9579166642
EC_007,EC,16,2.7516666632
EC_007,EC,17,-1.3758333316
EC_007,EC,18,3.5454166622
EC_007,EC,19,4.0745833282
EC_007,EC,20,0.9789583321
EC_007,EC,21,-0.5291666660000001
EC_007,EC,22,1.2170833318
EC_007,EC,23,3.8893749951
EC_007,EC,24,2.3812499970000003
EC_007,EC,25,2.4606249969
EC_007,EC,26,1.9579166642
EC_007,EC,27,0.7672916657000001
EC_007,EC,28,2.9633333296
EC_007,EC,29,2.6458333300000003
EC_007,EC,30,1.1377083319
EC_007,EC,31,-0.0264583333
EC_007,EC,32,2.1166666640000003
EC_007,EC,33,0.5820833326
EC_007,EC,34,2.0372916641
EC_007,EC,35,1.3229166650000002
EC_007,EC,36,0.3439583329
EC_007,EC,37,2.3812499970000003
EC_007,EC,38,4.206874994700001
EC_007,EC,39,0.5820833326
EC_007,EC,40,-1.0847916653
EC_007,EC,41,2.0372916641
EC_007,EC,42,1.3758333316
EC_007,EC,43,2.8574999964
EC_007,EC,44,1.5081249981
EC_007,EC,45,1.7462499978
EC_007,EC,46,2.3018749971
EC_007,EC,47,1.6404166646
EC_007,EC,48,1.2964583317
EC_007,EC,49,4.7360416607
EC_007,EC,50,2.3283333304
EC_007,EC,51,0.3439583329
EC_007,EC,52,0.6349999992
EC_007,EC,53,4.6566666608
EC_007,EC,54,-0.8466666656
EC_007,EC,55,1.0318749987
EC_007,EC,56,-0.6349999992
EC_007,EC,57,2.2224999972
EC_007,EC,58,-0.4233333328
EC_007,EC,59,2.0637499974
EC_007,EC,60,-0.2910416663
EC_007,EC,61,-1.3758333316
EC_007,EC,62,-0.9524999988
EC_007,EC,63,-1.587499998
EC_007,EC,64,0.9260416655
EC_007,EC,65,0.264583333
EC_007,EC,66,-1.5345833314
EC_007,EC,67,2.2754166638
EC_007,EC,68,-2.6193749967
