sim,group,true_beta_state,rec_beta_state,true_beta_obs,rec_beta_obs,true_r_sensory_base,rec_r_obs_base,waic
6,EC,1.0534582402270343,1.0153180785674294,-1.6121960649468174,-1.0132855252538282,1.5506177089423798,5.9251331442654065,35730.18565656379
6,EO+,0.5953021477415967,0.7369171463798203,-0.3320323927365203,-0.40344661239164775,2.0032162245216885,5.808733821252478,35730.18565656379
6,EO-,0.7341130424070339,-0.49225776538444166,-0.08176689499652486,0.4850592384702946,2.0746228203629933,5.054855742205312,35730.18565656379
7,EC,1.0141860237559546,0.8968511499341194,-1.5131739012317913,-0.9303377530345103,1.5506177089423798,5.617211373697414,35404.704141304894
7,EO+,0.6314861243550558,0.48398361363514997,-0.4409819303693963,-0.2931286196109637,2.0032162245216885,5.4484283836866965,35404.704141304894
7,EO-,0.48203891292087914,-0.1127267211293359,0.12524797413949437,0.21584118310495026,2.0746228203629933,5.484859292671463,35404.704141304894
8,EC,1.0656161579165473,1.159276278655262,-1.4343739210579032,-0.771314673789453,1.5506177089423798,5.15947925514944,35695.83513022422
8,EO+,0.6061095075351162,0.5670949633776301,-0.32801685097772487,-0.12916990796108516,2.0032162245216885,5.762112354256799,35695.83513022422
8,EO-,0.4221144188049875,-0.4075508910085589,0.03812341481612863,0.3081288261170107,2.0746228203629933,5.476838451723301,35695.83513022422
9,EC,1.1314487644811504,1.2229635473129163,-1.7014214559712797,-1.5297933501509542,1.5506177089423798,6.312704680055118,35835.428328522714
9,EO+,0.8192329980680393,0.8066583344485054,-0.7425214168615469,-0.44316920883402044,2.0032162245216885,5.846088534325814,35835.428328522714
9,EO-,0.5986273804764535,0.8457659880621572,-0.07421177513537212,-0.31487740083226634,2.0746228203629933,5.642728394811233,35835.428328522714
10,EC,1.1497255969676234,1.2457311875603727,-1.6373984881688715,-1.1117929494117953,1.5506177089423798,5.587378284599469,35542.63657127786
10,EO+,0.849346202132362,0.6164084193057924,-0.6620271434368269,-0.1712084837382093,2.0032162245216885,5.311416963118791,35542.63657127786
10,EO-,0.2596525138256838,0.2505584882358492,0.12667364105004983,0.08722998589154146,2.0746228203629933,5.566560718645643,35542.63657127786
11,EC,0.9269238771525655,1.1786884675774554,-1.474216598984363,-1.16205103462636,1.5506177089423798,6.333379335271481,35778.89527028884
11,EO+,0.7052539546136268,0.49252325373861516,-0.3865126453322395,-0.145799948732999,2.0032162245216885,5.452795522918075,35778.89527028884
11,EO-,0.23163820005729277,-0.2322719627866256,0.25703333579452803,0.28947638524698094,2.0746228203629933,5.539143997912868,35778.89527028884
12,EC,1.0674777585945305,1.0635763611617037,-1.835788125912956,-1.2644411929387118,1.5506177089423798,6.023658820386704,35481.18349344625
12,EO+,0.7273026296205035,0.29116189459732283,-0.6547026426523486,-0.3192011347774616,2.0032162245216885,5.538639431327555,35481.18349344625
12,EO-,0.5071935241984001,-0.3091257839754906,0.25475981172218115,0.4466346481066762,2.0746228203629933,5.0422977822487764,35481.18349344625
13,EC,1.0032521408076953,1.0887377025275953,-1.2258309680893003,-0.789897415688437,1.5506177089423798,5.5086768479873465,35442.99995996747
13,EO+,0.6324046133102523,0.44428172049917203,-0.6750571585559557,-0.4096546862529826,2.0032162245216885,5.420591677834066,35442.99995996747
13,EO-,0.48033184710916976,-0.48498723526937004,0.12388066627917459,0.36399547607353344,2.0746228203629933,5.219272199297048,35442.99995996747
14,EC,1.2811068226040583,0.9623401177738029,-1.6866475634760874,-0.6762238971564197,1.5506177089423798,5.498701492764561,35618.7612644483
14,EO+,0.7269646921006778,0.6807470117265069,-0.5198816834929324,-0.5135310024597814,2.0032162245216885,5.622731941585082,35618.7612644483
14,EO-,0.3442370668725816,-0.13163597078218522,0.1682258953423511,0.22544219374105606,2.0746228203629933,5.823730294352089,35618.7612644483
15,EC,1.1380037319253775,1.345063782080524,-1.6814815031764077,-1.4382296021158907,1.5506177089423798,6.17012984633482,35648.677695093895
15,EO+,0.8566120185020305,0.6410050163333636,-0.7211052643921585,-0.4002778806673858,2.0032162245216885,5.192325659397197,35648.677695093895
15,EO-,0.3478361492381276,-0.08514340621079002,-0.07045129862945015,0.15030518602374895,2.0746228203629933,5.724103057129415,35648.677695093895
16,EC,0.9877004859663624,1.1347462993292625,-1.478468304910784,-0.9097424657472688,1.5506177089423798,5.34427471593435,35245.07354880745
16,EO+,0.5190172883807429,0.3964807394827952,-0.5225639974128687,-0.33135274471759113,2.0032162245216885,5.254822451460743,35245.07354880745
16,EO-,0.41549651516657055,0.6881962931976456,0.02487424047003913,-0.1825076602952816,2.0746228203629933,5.094958001039836,35245.07354880745
17,EC,1.0535691699782521,0.8948522240304395,-1.761428687661026,-1.0042963649824226,1.5506177089423798,5.6786593690196145,35617.92013748123
17,EO+,0.6134069989024898,0.5171174804969438,-0.2244621912653934,-0.07319492936191811,2.0032162245216885,5.101156069916063,35617.92013748123
17,EO-,0.4120335409545971,0.8556133046275208,0.07157775075917353,-0.3006483177860093,2.0746228203629933,6.437328595222304,35617.92013748123
18,EC,1.0791913382413496,1.1804938045160445,-1.6604054707045324,-1.3068733119482698,1.5506177089423798,5.965219931121237,35420.42321689618
